time,lat,lon,depth_km,mag,FI_S,label
2015-08-03 14:56:47.810000+00:00,56.051729,160.607292,30.49,1.42,-100.0,1
2015-08-05 02:33:26.280000+00:00,56.027136,160.655599,31.35,2.01,-100.0,2
2015-08-06 02:11:34.860000+00:00,56.03822,160.563005,29.36,1.97,-0.481,1
2015-08-06 08:01:51.920000+00:00,56.051261,160.605957,29.73,1.96,-0.559,1
2015-08-06 10:07:05.340000+00:00,56.067623,160.550732,43.55,1.86,-0.666,1
2015-08-06 13:44:12.140000+00:00,56.072233,160.510596,42.27,1.89,-0.735,1
2015-08-06 21:33:44.900000+00:00,56.045638,160.593685,28.34,2.02,-100.0,1
2015-08-07 00:31:16.420000+00:00,56.00096,160.676432,58.46,1.94,-0.54,1
2015-08-07 02:25:25.950000+00:00,56.055448,160.616016,31.54,1.86,-0.613,1
2015-08-07 03:15:33.960000+00:00,56.043144,160.615137,-1.25,1.74,-0.608,1
2015-08-07 05:29:12.220000+00:00,56.051546,160.606104,30.13,1.92,-0.301,1
2015-08-07 06:16:06.680000+00:00,56.008097,160.681852,34.14,1.55,-100.0,1
2015-08-07 06:58:02.740000+00:00,56.057397,160.609033,31.82,1.8,-0.469,1
2015-08-07 08:20:15.360000+00:00,56.039372,160.592074,27.23,1.58,-0.437,1
2015-08-07 09:30:47.830000+00:00,56.008525,160.67679,33.69,1.35,-100.0,1
2015-08-07 09:41:38.750000+00:00,56.051278,160.601351,30.35,1.64,-0.616,1
2015-08-07 11:37:17.990000+00:00,56.046973,160.600944,29.54,1.54,-0.526,1
2015-08-07 12:48:50.880000+00:00,56.042167,160.560173,27.73,1.14,-100.0,1
2015-08-07 14:15:02.500000+00:00,56.080033,160.576221,44.28,1.35,-0.473,1
2015-08-07 15:33:38.080000+00:00,56.048905,160.602002,28.58,1.7,-0.668,1
2015-08-07 15:51:03.170000+00:00,56.065686,160.543538,42.04,1.07,-100.0,1
2015-08-07 16:54:13.210000+00:00,56.051099,160.615316,-1.35,1.5,-0.346,1
2015-08-07 18:26:59.800000+00:00,56.052295,160.606755,28.92,1.75,-0.621,1
2015-08-07 19:38:18.880000+00:00,56.057621,160.609115,32.43,1.41,-0.192,1
2015-08-07 19:39:57.320000+00:00,55.820544,160.5375,4.97,1.41,-0.063,1
2015-08-07 20:54:46.240000+00:00,56.010836,160.526156,31.63,1.47,-0.415,1
2015-08-07 22:16:51.860000+00:00,56.046139,160.591862,26.74,1.0,-100.0,1
2015-08-07 23:09:57.180000+00:00,56.055876,160.627734,4.57,1.67,-0.569,1
2015-08-08 02:10:56.770000+00:00,56.073718,160.632845,35.89,1.87,-0.56,1
2015-08-08 02:40:43.600000+00:00,56.046155,160.590658,26.94,1.6,-0.604,1
2015-08-08 03:13:39.580000+00:00,56.052987,160.6007,32.74,1.29,-0.631,1
2015-08-08 04:07:11.830000+00:00,56.060612,160.618034,37.82,1.68,-0.63,1
2015-08-08 04:43:03.040000+00:00,56.048193,160.533594,34.94,1.26,-0.715,1
2015-08-08 05:14:42.990000+00:00,55.676762,160.436719,6.06,1.16,-0.022,1
2015-08-08 05:25:09.970000+00:00,56.055184,160.583366,35.78,1.59,-0.437,1
2015-08-08 06:13:23.670000+00:00,56.040666,160.589404,26.03,1.39,-0.815,1
2015-08-08 07:17:30.270000+00:00,56.04578,160.600293,27.78,1.87,-0.714,1
2015-08-08 08:28:34.340000+00:00,56.017607,160.686589,59.62,1.43,-0.475,1
2015-08-08 08:58:51.900000+00:00,56.046623,160.627865,-1.12,1.06,-100.0,1
2015-08-08 09:30:22.710000+00:00,56.060958,160.614893,33.45,1.26,-100.0,1
2015-08-08 09:55:30.660000+00:00,56.04954,160.611247,28.06,1.48,-0.624,1
2015-08-08 10:18:24.440000+00:00,56.052189,160.620671,-0.04,1.27,-0.594,1
2015-08-08 11:13:04.500000+00:00,56.060844,160.609082,35.88,1.69,-0.441,1
2015-08-08 12:12:49.590000+00:00,56.032235,160.569564,25.74,1.36,-0.662,1
2015-08-08 12:26:20.170000+00:00,55.711369,160.43999,12.97,1.11,-0.033,1
2015-08-08 12:27:11.840000+00:00,56.028369,160.577246,24.91,0.99,-100.0,1
2015-08-08 13:29:08.440000+00:00,56.070915,160.770736,17.6,1.44,-1.046,1
2015-08-08 13:43:36.750000+00:00,56.061983,160.609359,35.11,1.46,-0.63,1
2015-08-08 13:52:35.150000+00:00,56.154097,160.884277,23.14,2.09,-0.101,1
2015-08-08 14:18:23.940000+00:00,56.049117,160.596191,29.93,1.19,-0.695,1
2015-08-08 14:36:15.510000+00:00,56.049166,160.608398,33.0,0.74,-100.0,1
2015-08-08 15:00:14.560000+00:00,56.048283,160.599154,29.42,1.29,-100.0,1
2015-08-08 15:05:27.460000+00:00,55.699805,160.392253,16.08,0.48,-0.091,1
2015-08-08 15:18:47.870000+00:00,55.931714,160.695882,7.1,0.41,-0.002,1
2015-08-08 16:29:37.350000+00:00,56.051164,160.599609,30.5,1.4,-0.596,1
2015-08-08 16:38:51.880000+00:00,56.048466,160.598958,29.12,1.23,-0.671,1
2015-08-08 16:58:42.490000+00:00,56.050208,160.493441,1.35,1.02,-0.562,1
2015-08-08 17:28:30.500000+00:00,56.049361,160.597005,28.62,1.38,-0.917,1
2015-08-08 17:56:59.860000+00:00,56.042061,160.583789,26.91,1.18,-0.692,1
2015-08-08 18:35:07.340000+00:00,55.981673,160.494466,22.13,0.81,-100.0,1
2015-08-08 18:38:53.560000+00:00,56.051746,160.543978,43.92,0.78,-0.623,1
2015-08-08 18:56:36.440000+00:00,56.047921,160.59541,27.5,1.14,-0.517,1
2015-08-08 19:35:58.120000+00:00,56.046257,160.592236,27.76,1.33,-0.612,1
2015-08-08 19:42:02.840000+00:00,56.048433,160.582536,30.45,0.71,-100.0,1
2015-08-08 20:19:34.940000+00:00,56.053723,160.60612,30.87,1.41,-0.868,1
2015-08-08 20:26:46.160000+00:00,56.054232,160.607389,31.22,1.16,-0.638,1
2015-08-08 21:22:29.240000+00:00,56.065788,160.639079,32.34,1.14,-0.621,1
2015-08-08 21:54:39.520000+00:00,56.053349,160.611377,30.51,1.76,-0.578,1
2015-08-08 22:23:44+00:00,56.053174,160.597038,30.49,1.21,-0.634,1
2015-08-08 22:41:13.540000+00:00,56.05037,160.60153,30.4,1.23,-0.888,1
2015-08-08 23:22:58.320000+00:00,56.052124,160.618327,-0.13,1.22,-0.59,1
2015-08-08 23:46:22.820000+00:00,56.052625,160.605843,30.05,0.83,-100.0,1
2015-08-08 23:50:54.320000+00:00,56.009473,160.544906,11.36,1.11,-0.534,1
2015-08-09 00:20:29.470000+00:00,56.057735,160.60944,34.47,0.89,-0.654,1
2015-08-09 00:36:14.200000+00:00,55.705334,160.44847,11.91,1.13,-0.098,1
2015-08-09 00:43:26+00:00,55.719609,160.47111,11.19,0.86,-0.036,1
2015-08-09 01:19:47.600000+00:00,56.05142,160.620378,-1.36,1.89,-0.891,1
2015-08-09 01:21:41.310000+00:00,56.050724,160.603223,30.69,1.66,-0.531,1
2015-08-09 01:30:01.630000+00:00,56.031327,160.584131,25.46,0.75,-0.736,1
2015-08-09 01:43:02.600000+00:00,56.058036,160.611882,32.11,1.28,-0.703,1
2015-08-09 01:55:28.420000+00:00,56.060787,160.629395,34.35,0.93,-0.764,1
2015-08-09 02:33:13.480000+00:00,56.053898,160.606738,31.77,1.21,-0.673,1
2015-08-09 02:59:22.970000+00:00,55.68995,160.405355,14.62,1.33,-0.002,1
2015-08-09 03:13:49.730000+00:00,56.039258,160.601383,27.5,1.39,-0.545,1
2015-08-09 03:21:27.260000+00:00,56.150659,160.566455,19.31,1.06,-0.434,1
2015-08-09 03:37:06.280000+00:00,56.069039,160.625879,36.04,0.9,-0.801,1
2015-08-09 03:50:00.120000+00:00,56.062158,160.617122,34.27,1.02,-0.81,1
2015-08-09 04:19:45.480000+00:00,55.660299,160.420052,12.94,0.56,-100.0,1
