,evento,Pre o Post,Registrazioni Totali,Registrazioni Errate,Percentuale Errata
0,Event 3458,pre,3,3,100.0
1,Event 11004,post,8,6,75.0
2,Event 6652,pre,7,5,71.43
3,Event 7079,pre,13,8,61.54
4,Event 6141,pre,14,7,50.0
5,Event 1812,pre,4,2,50.0
6,Event 948,pre,8,4,50.0
7,Event 7305,pre,14,7,50.0
8,Event 4201,pre,4,2,50.0
9,Event 2052,pre,7,3,42.86
10,Event 11061,post,12,5,41.67
11,Event 5280,pre,5,2,40.0
12,Event 7236,pre,5,2,40.0
13,Event 10961,post,5,2,40.0
14,Event 11141,post,5,2,40.0
15,Event 10893,post,5,2,40.0
16,Event 10833,post,5,2,40.0
17,Event 1669,pre,8,3,37.5
18,Event 141,pre,24,9,37.5
19,Event 11092,post,11,4,36.36
20,Event 10848,post,17,6,35.29
21,Event 3942,pre,3,1,33.33
22,Event 2541,pre,18,6,33.33
23,Event 4189,pre,6,2,33.33
24,Event 11011,post,6,2,33.33
25,Event 1805,pre,3,1,33.33
26,Event 925,pre,3,1,33.33
27,Event 5977,pre,10,3,30.0
28,Event 6895,pre,7,2,28.57
29,Event 10887,post,7,2,28.57
30,Event 3718,pre,4,1,25.0
31,Event 10982,post,4,1,25.0
32,Event 10784,post,8,2,25.0
33,Event 1753,pre,17,4,23.53
34,Event 6191,pre,17,4,23.53
35,Event 10806,post,9,2,22.22
36,Event 1788,pre,23,5,21.74
37,Event 190,pre,24,5,20.83
38,Event 4852,pre,5,1,20.0
39,Event 11059,post,5,1,20.0
40,Event 10936,post,5,1,20.0
41,Event 2939,pre,10,2,20.0
42,Event 10962,post,5,1,20.0
43,Event 2690,pre,12,2,16.67
44,Event 6881,pre,19,3,15.79
45,Event 10801,post,13,2,15.38
46,Event 10843,post,26,4,15.38
47,Event 4935,pre,13,2,15.38
48,Event 11085,post,27,4,14.81
49,Event 11021,post,14,2,14.29
50,Event 2772,pre,7,1,14.29
51,Event 4259,pre,7,1,14.29
52,Event 3168,pre,14,2,14.29
53,Event 10797,post,7,1,14.29
54,Event 10903,post,7,1,14.29
55,Event 1945,pre,15,2,13.33
56,Event 10955,post,8,1,12.5
57,Event 3377,pre,8,1,12.5
58,Event 10765,post,16,2,12.5
59,Event 1119,pre,8,1,12.5
60,Event 3641,pre,17,2,11.76
61,Event 5510,pre,9,1,11.11
62,Event 4663,pre,10,1,10.0
63,Event 4230,pre,20,2,10.0
64,Event 4123,pre,10,1,10.0
65,Event 2607,pre,10,1,10.0
66,Event 2431,pre,20,2,10.0
67,Event 4800,pre,11,1,9.09
68,Event 3068,pre,11,1,9.09
69,Event 10894,post,11,1,9.09
70,Event 10769,post,11,1,9.09
71,Event 1893,pre,11,1,9.09
72,Event 4699,pre,11,1,9.09
73,Event 10775,post,12,1,8.33
74,Event 2066,pre,12,1,8.33
75,Event 6029,pre,13,1,7.69
76,Event 831,pre,14,1,7.14
77,Event 2700,pre,15,1,6.67
78,Event 2702,pre,16,1,6.25
79,Event 11066,post,16,1,6.25
80,Event 3809,pre,17,1,5.88
81,Event 6971,pre,18,1,5.56
82,Event 4737,pre,19,1,5.26
83,Event 1573,pre,22,1,4.55
84,Event 469,pre,25,1,4.0
